,Commune,Total,1HH,2HH,3HH,4HH,5HH,6HH
41,Bülach,19241,2794,5856,3507,4484,1700,900
42,Dietlikon,7484,1128,2448,1194,1628,660,426
43,Eglisau,5118,527,1502,933,1380,505,271
44,Embrach,9080,1056,2610,1605,2144,1025,640
45,Freienstein-Teufen,2302,237,780,396,560,240,89
46,Glattfelden,5000,618,1446,930,1352,450,204
47,Hochfelden,1951,182,564,369,512,190,134
48,Höri,2666,305,684,489,700,295,193
49,Hüntwangen,1023,99,310,189,264,115,46
50,Kloten,18830,3195,5798,3579,3752,1645,861
51,Lufingen,2199,204,632,438,656,195,74
52,Nürensdorf,5557,694,1932,990,1340,420,181
53,Oberembrach,1057,134,412,177,180,130,24
54,Opfikon,19355,3425,5400,3396,3788,1985,1361
55,Rafz,4375,498,1334,783,1100,495,165
56,Rorbas,2792,310,686,501,756,380,159
57,Wallisellen,15649,2543,4914,3027,3284,1300,581
58,Wasterkingen,560,77,188,93,140,35,27
59,Wil (ZH),1357,146,442,264,312,145,48
60,Winkel,4361,530,1564,825,992,295,155
61,Bachs,598,43,206,108,112,90,39
62,Boppelsen,1322,146,412,189,408,135,32
63,Buchs (ZH),6322,814,1816,1218,1576,605,293
64,Dällikon,4059,505,1182,750,1060,370,192
65,Dänikon,1866,199,526,423,492,130,96
66,Dielsdorf,5932,809,1770,1041,1464,550,298
67,Hüttikon,916,69,262,186,276,85,38
68,Neerach,3099,414,1214,591,624,195,61
69,Niederglatt,4839,610,1370,861,1224,430,344
70,Niederhasli,9132,1039,2606,1755,2484,880,368
71,Niederweningen,2877,292,792,495,808,335,155
72,Oberglatt,6914,980,1768,1224,1700,730,512
73,Oberweningen,1768,177,624,324,412,155,76
74,Otelfingen,2800,262,794,573,780,280,111
75,Regensberg,469,89,168,72,88,40,12
76,Regensdorf,17976,2645,5224,3423,4108,1775,801
77,Rümlang,7912,1139,2222,1536,1880,735,400
78,Schleinikon,719,84,208,126,208,75,18
79,Schöfflisdorf,1378,169,436,294,292,125,62
80,Stadel,2214,271,662,432,536,205,108
81,Steinmaur,3413,511,1166,528,796,280,132
82,Weiach,1473,180,490,273,336,110,84
83,Bäretswil,5005,545,1574,867,1184,545,290
84,Bubikon,7054,723,2180,1083,1952,735,381
85,Dürnten,7394,877,2104,1269,1880,770,494
86,Fischenthal,2446,232,686,420,576,325,207
87,Gossau (ZH),9739,1146,3028,1689,2352,980,544
88,Grüningen,3368,415,1080,567,796,350,160
89,Hinwil,11055,1559,3534,1821,2508,1020,613
90,Rüti (ZH),11848,1956,3446,2001,2704,1195,546
91,Seegräben,1428,138,454,294,272,180,90
92,Wald (ZH),9490,1389,2824,1683,2128,960,506
93,Wetzikon (ZH),24256,3431,7086,4308,5516,2455,1460
94,Adliswil,18514,3170,5676,3411,4244,1465,548
95,Hirzel,2173,207,634,351,644,215,122
96,Horgen,19953,2854,5932,3678,5024,1720,745
97,Hütten,890,93,208,156,212,115,106
98,Kilchberg (ZH),8341,1505,2420,1638,1848,805,125
99,Langnau am Albis,7422,1061,2186,1326,1900,750,199
100,Oberrieden,4961,807,1580,876,1188,395,115
101,Richterswil,13219,1801,3910,2544,3296,1135,533
102,Rüschlikon,5680,807,1598,1077,1444,455,299
103,Schönenberg (ZH),1817,191,588,393,368,220,57
104,Thalwil,17624,3072,5354,3144,4156,1390,508
105,Wädenswil,21478,3150,6328,3681,4844,2055,1420
106,Erlenbach (ZH),5443,741,1582,972,1392,550,206
107,Herrliberg,6197,855,1810,1089,1584,655,204
108,Hombrechtikon,8463,1126,2548,1455,2112,895,327
109,Küsnacht (ZH),13939,2306,4184,2406,3372,1260,411
110,Männedorf,10638,1590,3308,1776,2804,880,280
111,Meilen,13511,2027,4080,2370,3516,1100,418
112,Oetwil am See,4707,640,1266,867,1240,425,269
113,Stäfa,14039,2207,4698,2331,3152,1280,371
114,Uetikon am See,6000,714,1866,1149,1572,515,184
115,Zumikon,5110,768,1474,816,1340,520,192
116,Zollikon,12575,2165,3760,2370,2892,1115,273
117,Fehraltorf,6289,728,1966,1182,1680,550,183
118,Hittnau,3562,415,1040,615,912,420,160
119,Lindau,5455,567,1676,990,1316,630,276
120,Pfäffikon,11598,1681,3676,1953,2772,1025,491
121,Russikon,4326,385,1344,801,1116,420,260
122,Weisslingen,3246,316,1026,525,920,315,144
123,Wila,1923,257,660,324,400,195,87
124,Wildberg,971,112,292,171,204,125,67
125,Dübendorf,27226,4581,8240,4980,6060,2195,1170
126,Egg,8322,1133,2506,1431,2156,855,241
127,Fällanden,8361,1208,2510,1536,2072,745,290
128,Greifensee,5322,668,1566,1005,1236,655,192
129,Maur,9967,1283,2990,1851,2672,905,266
130,Mönchaltorf,3645,449,1180,609,876,340,191
131,Schwerzenbach,5016,767,1572,864,1204,465,144
132,Uster,33829,5234,10232,5826,8068,3125,1344
133,Volketswil,18372,2069,5390,3276,4800,1920,917
134,Wangen-Brüttisellen,7812,909,2204,1566,2032,710,391
135,Altikon,655,79,218,120,160,60,18
136,Brütten,2020,218,682,351,484,180,105
137,Dägerlen,989,80,292,150,264,140,63
138,Dättlikon,781,66,232,144,196,105,38
139,Dinhard,1525,146,500,255,392,170,62
140,Elgg,4290,638,1290,690,888,480,304
141,Ellikon an der Thur,887,98,240,153,228,105,63
142,Elsau,3537,336,1060,651,908,375,207
143,Hagenbuch,1091,131,352,204,232,105,67
144,Hettlingen,3149,267,882,495,984,415,106
145,Hofstetten (ZH),494,44,118,102,104,80,46
146,Neftenbach,5526,573,1596,990,1492,585,290
147,Pfungen,3741,468,1066,624,872,490,221
148,Rickenbach (ZH),2671,279,764,495,716,255,162
149,Schlatt (ZH),743,70,196,129,184,105,59
150,Seuzach,7178,952,2512,1251,1716,560,187
151,Turbenthal,4640,529,1340,834,1040,545,352
152,Winterthur,107697,18907,32624,18675,23172,9465,4854
153,Zell (ZH),5658,774,1636,978,1392,595,283
154,Aesch (ZH),1270,175,418,195,324,125,33
155,Birmensdorf (ZH),6231,910,2030,1182,1384,520,205
156,Dietikon,26611,4231,7746,4794,5608,2640,1592
157,Geroldswil,4887,679,1460,897,1160,410,281
158,Oberengstringen,6457,1097,2054,1161,1364,520,261
159,Oetwil an der Limmat,2418,408,886,393,488,170,73
160,Schlieren,18420,2971,5052,3498,3932,1790,1177
161,Uitikon,4125,483,1326,741,1108,325,142
162,Unterengstringen,3713,537,1226,663,772,325,190
163,Urdorf,9534,1609,2976,1644,2180,810,315
164,Weiningen (ZH),4732,578,1368,858,1056,510,362
165,Zürich,387225,88027,116432,69075,69956,26880,16855
166,Illnau-Effretikon,16622,2759,5178,2628,3632,1455,970
167,Bauma,4833,576,1450,819,1144,500,344
168,Wiesendangen,6245,559,1918,1020,1824,735,189
169,Aarberg,4476,705,1504,765,1004,345,153
170,Bargen (BE),989,118,310,168,288,85,20
171,Grossaffoltern,2961,374,992,432,768,255,140
172,Kallnach,1893,230,644,366,460,155,38
173,Kappelen,1360,172,434,219,392,125,18
174,Lyss,14538,2344,4776,2610,3276,1155,377
175,Meikirch,2435,297,832,441,540,235,90
176,Radelfingen,1231,171,462,198,228,135,37
177,Rapperswil (BE),2575,330,830,351,676,300,88
178,Schüpfen,3682,503,1214,591,924,290,160
179,Seedorf (BE),3048,421,1098,465,720,250,94
180,Aarwangen,4358,581,1352,723,948,500,254
181,Auswil,441,65,132,66,108,45,25
182,Bannwil,685,99,220,105,148,80,33
183,Bleienbach,688,103,236,105,168,45,31
184,Busswil bei Melchnau,185,26,80,33,24,10,12
185,Gondiswil,728,103,220,120,184,70,31
186,Langenthal,15223,2777,4806,2463,3080,1330,767
187,Lotzwil,2519,371,710,423,560,315,140
188,Madiswil,3181,428,948,510,712,350,233
189,Melchnau,1501,218,486,219,312,170,96
190,Obersteckholz,407,57,122,69,92,35,32
191,Oeschenbach,238,30,92,39,40,25,12
192,Reisiswil,185,24,62,30,32,10,27
193,Roggwil (BE),3924,488,1258,687,896,370,225
194,Rohrbach,1416,226,456,222,344,130,38
195,Rohrbachgraben,396,35,102,57,64,95,43
196,Rütschelen,552,54,180,75,124,75,44
197,Schwarzhäusern,498,52,162,87,140,45,12
198,Thunstetten,3303,445,1114,480,756,380,128
199,Ursenbach,887,109,252,132,208,125,61
200,Wynau,1618,214,542,294,316,135,117
201,Bern,126956,28321,36242,22152,21724,10050,8467
202,Bolligen,6146,879,2208,939,1404,500,216
203,Bremgarten bei Bern,4326,552,1492,741,1124,325,92
204,Kirchlindach,2962,444,1080,489,656,200,93
205,Köniz,40257,6783,12586,6942,8792,3460,1694
206,Muri bei Bern,12588,2052,4364,2004,2824,915,429
207,Oberbalm,874,121,278,150,176,90,59
208,Stettlen,3097,373,1072,534,724,275,119
209,Vechigen,5158,633,1788,870,1240,480,147
210,Wohlen bei Bern,9062,1259,3284,1392,1968,795,364
211,Zollikofen,9960,1708,3280,1644,2124,895,309
212,Ittigen,11100,1926,3608,1845,2304,965,452
213,Ostermundigen,16834,3356,5596,2853,3288,1275,466
214,Biel/Bienne,53433,12260,14302,9387,9160,4825,3499
215,Evilard,2570,304,786,489,584,320,87
216,Arch,1522,230,492,273,360,120,47
217,Büetigen,846,85,278,165,192,95,31
218,Büren an der Aare,3482,569,1026,672,780,325,110
219,Diessbach bei Büren,980,107,264,138,296,110,65
220,Dotzigen,1497,133,520,216,416,130,82
221,Lengnau (BE),5016,802,1706,819,1060,465,164
222,Leuzigen,1240,188,414,171,284,120,63
223,Meienried,53,4,28,9,12,0,0
224,Meinisberg,1294,160,432,189,336,95,82
225,Oberwil bei Büren,825,109,244,120,216,75,61
226,Pieterlen,4107,634,1216,696,892,400,269
227,Rüti bei Büren,837,119,274,153,204,50,37
228,Wengi,585,78,186,102,156,50,13
229,Aefligen,1078,169,360,213,240,60,36
230,Alchenstorf,583,75,196,96,156,60,0
231,Bäriswil,1042,128,366,204,244,75,25
232,Burgdorf,15990,3038,5172,2508,3316,1435,521
233,Ersigen,1983,220,692,264,536,210,61
234,Hasle bei Burgdorf,3240,453,1044,450,804,310,179
235,Heimiswil,1559,182,468,246,388,165,110
236,Hellsau,206,17,54,42,56,25,12
237,Hindelbank,2427,350,884,384,512,240,57
238,Höchstetten,282,33,82,33,72,50,12
239,Kernenried,536,49,196,72,148,65,6
240,Kirchberg (BE),5817,823,2054,873,1352,570,145
241,Koppigen,2069,266,716,324,476,200,87
242,Krauchthal,2319,266,770,390,584,220,89
243,Lyssach,1414,218,494,213,324,110,55
244,Mötschwil,130,18,38,18,24,20,12
245,Oberburg,2893,389,962,438,612,350,142
246,Rüdtligen-Alchenflüh,2398,365,784,396,520,235,98
247,Rumendingen,81,13,24,12,32,0,0
248,Rüti bei Lyssach,160,28,54,15,36,15,12
249,Willadingen,205,29,86,21,48,15,6
250,Wynigen,1985,260,654,258,456,250,107
251,Corgémont,1645,224,480,300,412,145,84
252,Cormoret,480,60,152,78,104,80,6
253,Cortébert,693,105,234,114,132,70,38
254,Courtelary,1346,157,398,219,376,140,56
255,La Ferrière,540,60,130,117,136,55,42
256,Mont-Tramelan,115,16,24,9,12,35,19
257,Orvin,1204,165,356,246,256,125,56
258,Renan (BE),888,140,266,135,200,95,52
259,Romont (BE),194,18,78,45,48,5,0
260,Saint-Imier,5002,1099,1326,858,1080,405,234
261,Sonceboz-Sombeval,1877,230,496,339,460,240,112
262,Sonvilier,1252,172,368,201,320,135,56
263,Tramelan,4426,742,1304,660,996,475,249
264,Villeret,915,146,270,177,188,115,19
265,Sauge,822,122,276,135,200,70,19
266,Péry-La Heutte,1889,306,544,300,460,180,99
267,Brüttelen,586,70,210,126,132,30,18
268,Erlach,1440,241,482,291,276,115,35
269,Finsterhennen,580,52,150,111,168,60,39
270,Gals,783,118,248,138,196,45,38
271,Gampelen,873,102,286,189,176,70,50
272,Ins,3448,448,982,672,828,365,153
273,Lüscherz,527,108,190,78,116,35,0
274,Müntschemier,1327,158,414,255,284,145,71
275,Siselen,565,70,196,93,148,35,23
276,Treiten,423,65,134,51,120,35,18
277,Tschugg,434,79,130,81,88,50,6
278,Vinelz,847,119,310,114,196,90,18
279,Bätterkinden,3207,374,1140,525,848,240,80
280,Deisswil bei Münchenbuchsee,82,14,30,12,16,10,0
281,Diemerswil,198,14,44,42,60,25,13
282,Fraubrunnen,4914,552,1634,813,1288,485,142
283,Jegenstorf,5586,792,1876,936,1320,475,187
284,Iffwil,418,35,114,69,124,40,36
285,Mattstetten,560,49,210,120,96,65,20
286,Moosseedorf,3933,587,1308,732,748,375,183
287,Münchenbuchsee,9947,1518,3188,1761,2232,910,338
288,Urtenen-Schönbühl,6159,997,2084,1077,1340,555,106
289,Utzenstorf,4201,573,1386,675,1028,430,109
290,Wiggiswil,98,17,28,15,28,10,0
291,Wiler bei Utzenstorf,912,124,302,123,220,125,18
292,Zielebach,308,48,120,48,72,20,0
293,Zuzwil (BE),568,46,220,63,148,85,6
294,Adelboden,3320,481,920,465,712,455,287
295,Aeschi bei Spiez,2190,344,686,318,484,220,138
296,Frutigen,6798,973,2024,1059,1520,755,467
297,Kandergrund,790,127,282,108,176,65,32
298,Kandersteg,1254,254,512,198,200,60,30
299,Krattigen,1093,194,422,129,240,90,18
300,Reichenbach im Kandertal,3546,516,1114,540,824,425,127
301,Beatenberg,1157,266,404,159,152,120,56
302,Bönigen,2481,379,804,423,596,185,94
303,Brienz (BE),3004,571,1054,432,524,270,153
304,Brienzwiler,486,96,178,78,92,30,12
305,Därligen,429,74,156,75,84,40,0
306,Grindelwald,3784,805,1306,642,728,235,68
307,Gsteigwiler,391,68,124,78,84,25,12
308,Gündlischwand,316,45,108,30,76,45,12
309,Habkern,637,84,204,72,136,85,56
310,Hofstetten bei Brienz,530,70,196,84,84,65,31
311,Interlaken,5563,1247,1938,882,1024,290,182
312,Iseltwald,423,73,150,57,96,35,12
313,Lauterbrunnen,2367,566,800,453,356,135,57
314,Leissigen,1015,169,328,165,252,70,31
315,Lütschental,224,37,72,48,52,15,0
316,Matten bei Interlaken,3962,675,1412,687,856,265,67
317,Niederried bei Interlaken,353,72,146,30,84,0,21
318,Oberried am Brienzersee,457,110,182,66,72,15,12
319,Ringgenberg (BE),2583,456,888,408,532,225,74
320,Saxeten,98,19,44,15,20,0,0
321,Schwanden bei Brienz,573,107,236,84,80,35,31
322,Unterseen,5631,1030,2008,840,1196,405,152
323,Wilderswil,2629,449,874,426,560,240,80
324,Arni (BE),908,128,288,132,228,95,37
325,Biglen,1723,262,576,282,376,165,62
326,Bowil,1363,170,428,201,320,160,84
327,Brenzikofen,490,74,176,66,112,50,12
328,Freimettigen,479,52,146,60,164,50,7
329,Grosshöchstetten,3467,472,1224,483,808,355,125
330,Häutligen,247,23,78,33,68,45,0
331,Herbligen,574,58,180,111,140,55,30
332,Kiesen,931,103,330,162,248,70,18
333,Konolfingen,5128,787,1804,756,1060,530,191
334,Landiswil,613,69,204,90,120,85,45
335,Linden,1165,160,306,204,248,185,62
336,Mirchel,617,67,174,84,192,55,45
337,Münsingen,11828,1679,4042,1908,2744,1020,435
338,Niederhünigen,604,69,186,69,192,75,13
339,Oberdiessbach,3447,405,1140,573,788,320,221
340,Oberthal,712,104,216,102,180,85,25
341,Oppligen,649,77,174,126,132,65,75
342,Rubigen,2943,369,1030,528,736,195,85
343,Schlosswil,628,87,218,99,140,65,19
344,Tägertschi,396,31,126,66,108,40,25
345,Walkringen,1746,237,562,252,388,200,107
346,Worb,11202,1766,3704,1878,2456,900,498
347,Zäziwil,1612,222,480,219,460,175,56
348,Oberhünigen,313,30,104,45,32,65,37
349,Allmendingen,576,66,206,132,84,50,38
350,Wichtrach,4190,541,1414,708,1064,355,108
351,Clavaleyres,49,7,12,3,8,0,19
352,Ferenbalm,1245,135,494,195,252,110,59
353,Frauenkappelen,1200,173,442,219,244,85,37
354,Golaten,304,37,108,48,72,20,19
355,Gurbrü,247,25,70,48,60,25,19
356,Kriechenwil,420,74,156,48,68,40,34
357,Laupen,3080,570,1054,486,648,225,97
358,Mühleberg,2827,390,1100,411,640,230,56
359,Münchenwiler,495,43,156,93,132,40,31
360,Neuenegg,5359,706,1892,876,1352,380,153
361,Wileroltigen,371,40,106,51,128,40,6
362,Belprahon,300,27,112,48,76,25,12
363,Champoz,159,12,34,36,52,25,0
364,Corcelles (BE),203,29,70,21,20,45,18
365,Court,1393,175,452,207,320,165,74
366,Crémines,521,89,140,102,96,55,39
367,Eschert,387,37,116,84,88,50,12
368,Grandval,381,49,120,48,112,40,12
369,Loveresse,322,35,110,60,76,35,6
370,Moutier,7439,1307,2204,1383,1552,705,288
371,Perrefitte,448,59,142,57,104,65,21
372,Reconvilier,2290,386,622,399,508,265,110
373,Roches (BE),209,26,68,33,72,10,0
374,Saicourt,608,87,176,111,132,65,37
375,Saules (BE),156,19,46,30,24,25,12
376,Schelten,36,4,6,9,0,5,12
377,Seehof,64,4,8,18,12,15,7
378,Sorvilier,277,48,82,72,60,15,0
379,Tavannes,3526,681,960,552,852,345,136
380,Rebévelier,43,2,14,6,8,0,13
381,Petit-Val,403,39,104,75,104,50,31
382,Valbirse,3968,576,1158,726,1020,365,123
383,La Neuveville,3657,648,1096,654,864,325,70
384,Nods,734,95,206,105,216,75,37
385,Plateau de Diesse,1972,272,574,363,504,175,84
386,Aegerten,1981,297,668,327,396,165,128
387,Bellmund,1614,125,508,303,460,175,43
388,Brügg,4221,816,1308,726,868,390,113
389,Bühl,437,61,186,75,80,35,0
390,Epsach,321,28,76,81,76,30,30
391,Hagneck,408,36,172,81,92,20,7
392,Hermrigen,306,37,114,33,72,20,30
393,Jens,675,63,230,132,160,65,25
394,Ipsach,3961,599,1372,627,924,345,94
395,Ligerz,547,92,218,81,100,50,6
396,Merzligen,404,40,174,69,52,55,14
397,Mörigen,853,82,326,171,188,55,31
398,Nidau,6724,1555,2136,1074,1088,535,336
399,Orpund,2694,422,912,447,620,210,83
400,Port,3500,483,1278,600,832,220,87
401,Safnern,1895,231,666,318,464,175,41
402,Scheuren,449,42,154,72,124,25,32
403,Schwadernau,670,65,224,117,164,60,40
404,Studen (BE),3221,447,1054,534,808,290,88
405,Sutz-Lattrigen,1379,158,460,276,332,95,58
406,Täuffelen,2767,376,1018,453,664,190,66
407,Walperswil,970,108,378,144,244,65,31
408,Worben,2237,305,840,351,532,140,69
409,Twann-Tüscherz,1145,205,456,180,240,45,19
410,Därstetten,836,104,270,141,180,85,56
411,Diemtigen,2169,301,694,321,472,275,106
412,Erlenbach im Simmental,1693,263,554,249,356,160,111
413,Oberwil im Simmental,779,109,270,123,156,85,36
414,Reutigen,984,140,324,165,212,85,58
415,Spiez,12524,2126,4400,2028,2636,995,339
416,Wimmis,2433,353,758,426,520,260,116
417,Stocken-Höfen,983,122,336,189,180,120,36
418,Guttannen,267,40,92,33,60,30,12
419,Hasliberg,1118,165,336,171,228,155,63
420,Innertkirchen,1075,176,360,153,240,140,6
421,Meiringen,4599,782,1480,807,1048,370,112
422,Schattenhalb,579,79,196,93,128,65,18
423,Boltigen,1282,171,408,210,288,150,55
424,Lenk,2318,379,760,360,552,205,62
425,St. Stephan,1293,206,366,234,264,150,73
426,Zweisimmen,2972,480,1038,420,596,295,143
427,Gsteig,978,183,300,156,236,90,13
428,Lauenen,827,131,218,135,172,135,36
429,Saanen,6802,1400,1798,1200,1376,585,443
430,Guggisberg,1551,187,416,231,364,210,143
431,Rüschegg,1598,271,644,222,304,115,42
432,Schwarzenburg,6778,1026,2278,1032,1568,650,224
433,Belp,11383,1741,3814,1956,2584,905,383
434,Burgistein,1044,123,352,186,224,140,19
435,Gelterfingen,286,53,102,48,40,15,28
436,Gerzensee,1178,141,414,192,256,150,25
437,Gurzelen,845,90,220,138,228,125,44
438,Jaberg,268,34,70,33,84,35,12
439,Kaufdorf,1061,98,330,180,284,125,44
440,Kehrsatz,4211,551,1286,681,972,430,291
441,Kirchdorf (BE),957,110,296,192,208,120,31
442,Kirchenthurnen,274,41,102,39,60,25,7
443,Lohnstorf,226,27,64,30,84,15,6
444,Mühledorf (BE),260,30,86,21,76,35,12
445,Mühlethurnen,1367,166,436,249,340,140,36
446,Niedermuhlern,469,59,162,69,92,50,37
447,Noflen,294,32,86,45,64,55,12
448,Riggisberg,2401,346,758,414,532,215,136
449,Rüeggisberg,1787,289,550,258,416,185,89
450,Rümligen,431,56,162,63,112,25,13
451,Seftigen,2165,270,788,345,488,160,114
452,Toffen,2521,317,938,327,636,230,73
453,Uttigen,1931,220,644,282,500,235,50
454,Wattenwil,2816,398,796,498,724,220,180
455,Wald (BE),1169,134,406,153,308,110,58
456,Eggiwil,2398,246,700,402,512,365,173
457,Langnau im Emmental,9033,1394,2958,1299,1844,1040,498
458,Lauperswil,2567,349,848,432,544,265,129
459,Röthenbach im Emmental,1164,141,324,144,224,230,101
460,Rüderswil,2327,300,756,339,564,255,113
461,Schangnau,894,118,250,141,220,135,30
462,Signau,2642,380,830,414,552,250,216
463,Trub,1317,126,346,174,292,205,174
464,Trubschachen,1395,179,434,207,284,180,111
465,Amsoldingen,791,99,288,99,208,60,37
466,Blumenstein,1184,158,426,210,232,115,43
467,Buchholterberg,1516,159,482,261,360,175,79
468,Eriz,489,66,154,84,100,50,35
469,Fahrni,794,83,238,120,272,50,31
470,Heiligenschwendi,679,142,220,108,124,55,30
471,Heimberg,6640,906,2322,1170,1448,485,309
472,Hilterfingen,3985,766,1378,531,880,320,110
473,Homberg,507,45,138,63,136,70,55
474,Horrenbach-Buchen,230,28,74,33,28,45,22
475,Oberhofen am Thunersee,2382,451,950,330,468,120,63
476,Oberlangenegg,464,65,132,63,128,50,26
477,Pohlern,257,35,98,24,64,30,6
478,Schwendibach,236,33,64,48,48,25,18
479,Sigriswil,4669,946,1888,648,772,270,145
480,Steffisburg,15480,2547,5282,2505,3352,1250,544
481,Teuffenthal (BE),155,19,44,30,40,10,12
482,Thierachern,2407,284,756,348,660,230,129
483,Thun,42640,8162,15066,6723,8124,3250,1315
484,Uebeschi,662,68,200,90,160,80,64
485,Uetendorf,5927,781,2144,933,1344,510,215
486,Unterlangenegg,957,120,296,135,260,100,46
487,Wachseldorn,233,33,62,36,48,35,19
488,Zwieselberg,317,25,80,36,96,45,35
489,Forst-Längenbühl,775,99,252,120,188,90,26
490,Affoltern im Emmental,1111,160,324,204,240,115,68
491,Dürrenroth,1039,141,304,162,204,150,78
492,Eriswil,1379,177,412,195,268,190,137
493,Huttwil,4749,773,1506,726,960,520,264
494,Lützelflüh,4031,603,1300,579,872,435,242
495,Rüegsau,3152,425,992,549,676,305,205
496,Sumiswald,4921,792,1552,705,1048,580,244
497,Trachselwald,949,122,260,150,184,140,93
498,Walterswil (BE),537,46,128,87,132,70,74
499,Wyssachen,1118,152,342,171,208,145,100
500,Attiswil,1411,200,494,246,332,120,19
501,Berken,42,8,14,3,12,5,0
502,Bettenhausen,641,90,250,87,136,60,18
503,Farnern,205,30,86,39,40,10,0
504,Graben,332,45,96,72,44,50,25
505,Heimenhausen,1093,153,396,150,276,100,18
506,Herzogenbuchsee,6890,1096,2338,1008,1444,740,264
507,Inkwil,611,101,258,78,100,55,19
508,Niederbipp,4548,597,1324,891,1052,400,284
509,Niederönz,1682,209,572,267,432,160,42
510,Oberbipp,1684,224,508,339,364,190,59
511,Ochlenberg,551,73,166,78,112,85,37
512,Rumisberg,472,58,180,93,96,45,0
513,Seeberg,1554,220,498,246,264,175,151
514,Thörigen,1103,166,346,216,272,90,13
515,Walliswil bei Niederbipp,208,36,78,24,40,30,0
516,Walliswil bei Wangen,582,82,228,87,128,50,7
517,Wangen an der Aare,2274,369,736,411,492,150,116
518,Wangenried,411,54,138,63,96,30,30
519,Wiedlisbach,2292,404,802,378,480,160,68
520,Wolfisberg,183,31,64,27,40,15,6
521,Doppleschwand,755,74,122,93,252,130,84
522,Entlebuch,3314,435,796,486,832,460,305
523,Flühli,1678,231,414,276,376,235,146
524,Hasle (LU),1713,177,394,234,432,325,151
525,Romoos,650,70,182,66,128,100,104
526,Schüpfheim,4118,453,934,648,956,750,377
527,Werthenstein,1994,223,496,333,472,300,170
528,Escholzmatt-Marbach,4262,515,1040,639,892,745,431
529,Aesch (LU),1128,157,378,153,256,130,54
530,Altwis,407,23,112,60,92,65,55
531,Ballwil,2757,285,770,402,788,375,137
532,Emmen,29658,4636,8626,5334,6796,2725,1541
533,Ermensee,950,80,222,171,232,145,100
534,Eschenbach (LU),3640,397,1080,537,1004,435,187
535,Hitzkirch,5123,456,1236,792,1356,785,498
536,Hochdorf,9425,1177,2618,1602,2564,1085,379
537,Hohenrain,2510,187,616,387,592,475,253
538,Inwil,2404,267,652,375,664,280,166
539,Rain,2633,228,678,417,844,370,96
540,Römerswil,1749,170,442,252,396,270,219
541,Rothenburg,7366,707,2146,1320,2128,785,280
542,Schongau,1011,92,240,150,272,165,92
543,Adligenswil,5323,504,1622,1017,1408,550,222
544,Buchrain,6139,581,1694,1182,1764,610,308
545,Dierikon,1470,158,450,312,392,120,38
546,Ebikon,13137,1770,4066,2409,3060,1210,622
547,Gisikon,1283,131,396,234,336,135,51
548,Greppen,1049,107,278,192,284,140,48
549,Honau,363,25,86,72,104,45,31
550,Horw,13448,2012,4308,2058,3284,1185,601
551,Kriens,26628,4255,8428,4593,6252,2255,845
552,Luzern,79015,18904,26626,12633,13824,5165,1863
553,Malters,7008,820,1896,1164,1768,845,515
554,Meggen,6887,971,2314,1134,1688,560,220
555,Meierskappel,1359,138,364,216,316,225,100
556,Root,4684,495,1302,798,1252,545,292
557,Schwarzenberg,1703,191,456,291,472,200,93
558,Udligenswil,2257,220,638,378,676,265,80
559,Vitznau,1328,254,434,243,208,110,79
