,Commune,Total,1HH,2HH,3HH,4HH,5HH,6HH
50,Kloten,19140,3268,5700,3744,3864,1745,819
51,Lufingen,2374,199,700,462,696,230,87
52,Nürensdorf,5570,728,1892,936,1352,460,202
53,Oberembrach,1046,141,426,156,200,110,13
54,Opfikon,19746,3508,5412,3489,4088,2025,1224
55,Rafz,4457,515,1398,798,1104,490,152
56,Rorbas,2821,319,686,486,820,390,120
57,Wallisellen,15681,2509,4814,3015,3424,1355,564
58,Wasterkingen,573,72,200,84,156,35,26
59,Wil (ZH),1392,157,452,255,316,145,67
60,Winkel,4506,546,1636,876,1048,265,135
61,Bachs,591,45,208,93,132,100,13
62,Boppelsen,1366,144,404,198,440,155,25
63,Buchs (ZH),6279,788,1868,1167,1592,595,269
64,Dällikon,4099,497,1204,807,1024,355,212
65,Dänikon,1862,199,542,426,472,125,98
66,Dielsdorf,5922,813,1788,1065,1288,635,333
67,Hüttikon,925,63,262,186,288,95,31
68,Neerach,3127,417,1210,615,612,205,68
69,Niederglatt,4885,622,1386,873,1232,470,302
70,Niederhasli,9142,1072,2552,1806,2468,895,349
71,Niederweningen,2986,289,828,522,872,315,160
72,Oberglatt,6920,998,1788,1185,1692,740,517
73,Oberweningen,1788,186,626,345,404,150,77
74,Otelfingen,2807,279,798,564,776,280,110
75,Regensberg,472,84,160,63,108,45,12
76,Regensdorf,18097,2593,5208,3471,4260,1715,850
77,Rümlang,7816,1132,2242,1467,1904,695,376
78,Schleinikon,728,79,220,129,208,80,12
79,Schöfflisdorf,1394,171,464,261,304,120,74
80,Stadel,2269,290,706,408,536,225,104
81,Steinmaur,3430,502,1138,516,808,315,151
82,Weiach,1747,207,566,321,372,160,121
83,Bäretswil,4985,551,1602,858,1200,495,279
84,Bubikon,7125,738,2244,1038,1956,770,379
85,Dürnten,7431,884,2108,1302,1884,785,468
86,Fischenthal,2468,237,710,402,596,330,193
87,Gossau (ZH),9876,1193,3160,1608,2444,965,506
88,Grüningen,3356,429,1060,564,760,390,153
89,Hinwil,11168,1595,3644,1875,2460,1040,554
90,Rüti (ZH),11929,2020,3524,1926,2660,1200,599
91,Seegräben,1425,151,460,252,308,155,99
92,Wald (ZH),9646,1415,2930,1671,2140,980,510
93,Wetzikon (ZH),24136,3361,7110,4368,5392,2350,1555
94,Adliswil,18568,3128,5810,3495,4208,1360,567
95,Hirzel,2169,219,610,396,604,215,125
96,Horgen,20002,2864,5866,3639,5008,1780,845
97,Hütten,885,91,218,192,180,130,74
98,Kilchberg (ZH),8428,1516,2418,1635,1924,780,155
99,Langnau am Albis,7454,1058,2152,1293,1952,765,234
100,Oberrieden,5020,819,1534,936,1188,380,163
101,Richterswil,13318,1837,3956,2523,3344,1135,523
102,Rüschlikon,5794,760,1666,1173,1420,465,310
103,Schönenberg (ZH),1820,203,580,342,404,215,76
104,Thalwil,17703,3073,5372,3159,4148,1395,556
105,Wädenswil,21457,3211,6280,3720,4764,2030,1452
106,Erlenbach (ZH),5505,744,1584,990,1384,555,248
107,Herrliberg,6202,861,1788,1068,1656,600,229
108,Hombrechtikon,8461,1141,2582,1434,2080,875,349
109,Küsnacht (ZH),14087,2351,4222,2319,3484,1290,421
110,Männedorf,10791,1602,3286,1866,2868,920,249
111,Meilen,13744,2028,4178,2337,3652,1150,399
112,Oetwil am See,4726,659,1288,846,1180,460,293
113,Stäfa,14204,2229,4746,2445,3168,1250,366
114,Uetikon am See,6092,713,1830,1248,1640,500,161
115,Zumikon,5094,762,1474,834,1340,500,184
116,Zollikon,12774,2189,3714,2418,2972,1165,316
117,Fehraltorf,6351,741,1932,1209,1696,590,183
118,Hittnau,3581,420,1022,654,888,435,162
119,Lindau,5604,583,1702,1002,1392,640,285
120,Pfäffikon,11687,1714,3734,1923,2792,1060,464
121,Russikon,4323,417,1302,750,1204,415,235
122,Weisslingen,3267,334,994,528,912,345,154
123,Wila,1951,270,640,321,408,230,82
124,Wildberg,988,105,320,156,224,135,48
125,Dübendorf,27633,4772,8494,5151,6164,2120,932
126,Egg,8348,1162,2508,1437,2148,845,248
127,Fällanden,8542,1230,2538,1533,2224,725,292
128,Greifensee,5298,672,1592,993,1264,565,212
129,Maur,10069,1333,3034,1803,2700,905,294
130,Mönchaltorf,3689,457,1130,633,952,340,177
131,Schwerzenbach,5030,756,1542,885,1200,475,172
132,Uster,34019,5233,10212,6009,8208,3045,1312
133,Volketswil,18476,2058,5420,3315,4780,1910,993
134,Wangen-Brüttisellen,7837,905,2238,1590,1956,770,378
135,Altikon,674,83,226,120,152,55,38
136,Brütten,2012,218,710,354,492,145,93
137,Dägerlen,1009,81,294,159,284,120,71
138,Dättlikon,781,67,236,144,192,105,37
139,Dinhard,1552,141,530,261,412,145,63
140,Elgg,4383,641,1352,684,964,425,317
141,Ellikon an der Thur,894,102,242,132,232,115,71
142,Elsau,3614,356,1062,633,944,415,204
143,Hagenbuch,1090,143,340,204,216,125,62
144,Hettlingen,3160,279,854,519,1008,400,100
145,Hofstetten (ZH),494,34,126,84,132,65,53
146,Neftenbach,5512,590,1568,1005,1524,590,235
147,Pfungen,3811,492,1088,657,856,495,223
148,Rickenbach (ZH),2634,291,738,483,704,265,153
149,Schlatt (ZH),734,68,186,135,188,110,47
150,Seuzach,7226,987,2502,1332,1664,570,171
151,Turbenthal,4729,550,1390,825,1072,545,347
152,Winterthur,108820,19162,32622,18771,23540,9835,4890
153,Zell (ZH),5836,775,1744,945,1424,635,313
154,Aesch (ZH),1340,180,450,225,328,125,32
155,Birmensdorf (ZH),6338,925,2048,1143,1484,555,183
156,Dietikon,26601,4297,7574,4806,5640,2635,1649
157,Geroldswil,4886,683,1412,906,1180,420,285
158,Oberengstringen,6458,1107,2032,1209,1396,520,194
159,Oetwil an der Limmat,2446,438,878,339,520,195,76
160,Schlieren,18418,2952,5028,3444,4052,1790,1152
161,Uitikon,4212,479,1382,732,1136,355,128
162,Unterengstringen,3760,548,1220,654,764,345,229
163,Urdorf,9662,1645,2908,1737,2196,800,376
164,Weiningen (ZH),4736,565,1422,828,1048,535,338
165,Zürich,394429,88702,118110,70500,72020,28040,17057
166,Illnau-Effretikon,16799,2716,5148,2715,3776,1440,1004
167,Bauma,4873,623,1482,858,1084,545,281
168,Wiesendangen,6337,577,1862,1065,1916,700,217
169,Aarberg,4526,731,1542,723,1024,340,166
170,Bargen (BE),997,119,290,195,264,115,14
171,Grossaffoltern,2985,378,1028,456,728,285,110
172,Kallnach,1884,233,670,348,448,155,30
173,Kappelen,1354,192,408,222,404,110,18
174,Lyss,14720,2394,4782,2601,3340,1210,393
175,Meikirch,2468,282,878,399,524,270,115
176,Radelfingen,1256,179,438,222,244,130,43
177,Rapperswil (BE),2620,313,868,414,640,285,100
178,Schüpfen,3714,512,1280,591,884,295,152
179,Seedorf (BE),3070,423,1098,468,720,255,106
180,Aarwangen,4379,581,1358,696,1008,485,251
181,Auswil,438,69,134,69,92,55,19
182,Bannwil,674,102,212,108,144,75,33
183,Bleienbach,691,109,242,96,168,45,31
184,Busswil bei Melchnau,188,30,76,36,24,10,12
185,Gondiswil,727,104,224,114,188,70,27
186,Langenthal,15378,2790,4664,2577,3112,1430,805
187,Lotzwil,2513,361,744,408,564,285,151
188,Madiswil,3229,437,966,492,748,360,226
189,Melchnau,1502,229,498,192,308,185,90
190,Obersteckholz,405,53,128,63,84,40,37
191,Oeschenbach,238,32,86,36,52,20,12
192,Reisiswil,177,26,64,24,32,10,21
193,Roggwil (BE),3981,510,1276,681,928,375,211
194,Rohrbach,1443,235,474,198,368,125,43
195,Rohrbachgraben,396,31,108,36,88,90,43
196,Rütschelen,550,54,184,66,148,60,38
197,Schwarzhäusern,510,49,176,99,124,50,12
198,Thunstetten,3288,417,1138,498,740,355,140
199,Ursenbach,883,115,254,135,188,130,61
200,Wynau,1610,230,550,255,324,155,96
201,Bern,128364,28457,36670,22233,22592,10340,8072
202,Bolligen,6151,868,2190,972,1384,530,207
203,Bremgarten bei Bern,4363,570,1444,789,1120,315,125
204,Kirchlindach,2954,451,1100,510,604,225,64
205,Köniz,40857,6824,12610,7077,8828,3550,1968
206,Muri bei Bern,12642,2060,4302,2037,2896,990,357
207,Oberbalm,869,125,286,150,160,90,58
208,Stettlen,3052,380,1066,507,708,290,101
209,Vechigen,5179,640,1792,870,1256,490,131
210,Wohlen bei Bern,9133,1283,3308,1395,2008,770,369
211,Zollikofen,10003,1741,3238,1677,2012,990,345
212,Ittigen,11086,1914,3576,1866,2208,990,532
213,Ostermundigen,17219,3480,5676,2949,3376,1300,438
214,Biel/Bienne,53683,12600,14182,9213,9620,4700,3368
215,Evilard,2608,303,806,459,608,310,122
216,Arch,1559,241,502,282,372,125,37
217,Büetigen,847,79,298,168,176,95,31
218,Büren an der Aare,3501,571,1042,657,812,300,119
219,Diessbach bei Büren,980,112,276,177,276,95,44
220,Dotzigen,1487,133,512,243,376,130,93
221,Lengnau (BE),5139,803,1722,828,1080,510,196
222,Leuzigen,1244,187,400,177,304,120,56
223,Meienried,52,4,30,6,12,0,0
224,Meinisberg,1293,158,422,204,332,95,82
225,Oberwil bei Büren,849,99,282,96,236,75,61
226,Pieterlen,4166,631,1268,687,896,430,254
227,Rüti bei Büren,832,120,290,135,212,50,25
228,Wengi,613,87,198,108,148,65,7
229,Aefligen,1081,165,362,201,260,75,18
230,Alchenstorf,573,77,194,87,164,45,6
231,Bäriswil,1054,122,374,189,268,75,26
232,Burgdorf,15975,3029,5138,2439,3388,1440,541
233,Ersigen,2038,239,710,258,548,220,63
234,Hasle bei Burgdorf,3255,450,1040,486,792,310,177
235,Heimiswil,1593,187,460,234,408,180,124
236,Hellsau,209,20,52,42,52,30,13
237,Hindelbank,2480,364,870,411,528,230,77
238,Höchstetten,274,36,78,36,72,40,12
239,Kernenried,525,48,190,90,132,65,0
240,Kirchberg (BE),5845,847,2062,864,1352,585,135
241,Koppigen,2060,291,690,348,452,200,79
242,Krauchthal,2307,282,784,366,564,215,96
243,Lyssach,1410,222,484,246,292,110,56
244,Mötschwil,123,16,34,27,24,10,12
245,Oberburg,2874,399,950,456,600,335,134
246,Rüdtligen-Alchenflüh,2373,372,790,390,508,215,98
247,Rumendingen,77,14,22,9,32,0,0
248,Rüti bei Lyssach,165,26,58,18,36,15,12
249,Willadingen,206,29,82,30,44,15,6
250,Wynigen,2006,276,658,264,464,255,89
251,Corgémont,1648,240,476,309,400,140,83
252,Cormoret,486,65,146,63,120,80,12
253,Cortébert,693,106,228,111,132,90,26
254,Courtelary,1376,166,402,225,352,150,81
255,La Ferrière,540,58,150,111,136,55,30
256,Mont-Tramelan,117,16,22,15,16,30,18
257,Orvin,1193,162,362,246,244,125,54
258,Renan (BE),908,151,280,147,196,85,49
259,Romont (BE),185,18,76,54,32,5,0
260,Saint-Imier,5043,1126,1316,852,1104,445,200
261,Sonceboz-Sombeval,1859,235,500,354,420,230,120
262,Sonvilier,1228,182,366,174,328,110,68
263,Tramelan,4478,771,1302,666,964,525,250
264,Villeret,903,146,264,180,180,120,13
265,Sauge,799,128,262,126,208,50,25
266,Péry-La Heutte,1908,291,550,312,460,180,115
267,Brüttelen,584,71,220,99,156,25,13
268,Erlach,1415,239,474,282,292,100,28
269,Finsterhennen,552,48,146,108,156,55,39
270,Gals,791,120,240,141,212,40,38
271,Gampelen,907,96,316,177,192,70,56
272,Ins,3490,449,988,648,864,380,161
273,Lüscherz,543,99,200,78,116,50,0
274,Müntschemier,1378,151,404,264,300,185,74
275,Siselen,569,67,190,105,152,30,25
276,Treiten,418,61,136,54,112,30,25
277,Tschugg,443,88,116,72,100,55,12
278,Vinelz,852,120,314,135,180,85,18
279,Bätterkinden,3221,371,1174,540,820,230,86
280,Deisswil bei Münchenbuchsee,72,16,28,15,8,5,0
281,Diemerswil,199,13,42,51,44,35,14
282,Fraubrunnen,4986,557,1672,753,1360,505,139
283,Jegenstorf,5611,813,1858,915,1360,445,220
284,Iffwil,439,33,126,75,108,55,42
285,Mattstetten,565,47,204,105,112,65,32
286,Moosseedorf,4075,638,1314,756,840,380,147
287,Münchenbuchsee,9949,1584,3150,1734,2264,935,282
288,Urtenen-Schönbühl,6163,975,2080,1068,1364,580,96
289,Utzenstorf,4245,594,1438,687,1012,410,104
290,Wiggiswil,101,17,28,18,28,10,0
291,Wiler bei Utzenstorf,896,121,296,129,200,125,25
292,Zielebach,318,47,122,57,72,20,0
293,Zuzwil (BE),567,46,214,69,160,65,13
294,Adelboden,3323,505,940,471,700,425,282
295,Aeschi bei Spiez,2236,355,710,300,504,235,132
296,Frutigen,6829,1005,2032,1029,1504,760,499
297,Kandergrund,771,134,262,120,168,55,32
298,Kandersteg,1272,286,524,198,180,60,24
299,Krattigen,1089,177,422,141,240,85,24
300,Reichenbach im Kandertal,3562,533,1122,561,788,430,128
301,Beatenberg,1148,270,410,150,172,115,31
302,Bönigen,2452,404,794,417,608,140,89
303,Brienz (BE),3049,571,1046,441,568,265,158
304,Brienzwiler,481,97,180,72,80,40,12
305,Därligen,427,74,148,69,84,40,12
306,Grindelwald,3750,811,1286,627,724,230,72
307,Gsteigwiler,397,73,146,69,72,25,12
308,Gündlischwand,324,45,110,45,76,30,18
309,Habkern,628,82,220,81,116,85,44
310,Hofstetten bei Brienz,524,73,200,84,68,65,34
311,Interlaken,5481,1231,1918,879,1020,275,158
312,Iseltwald,431,73,156,54,100,30,18
313,Lauterbrunnen,2311,583,794,408,380,100,46
314,Leissigen,1062,171,362,171,236,85,37
315,Lütschental,217,43,74,27,56,10,7
316,Matten bei Interlaken,3990,671,1452,705,868,245,49
317,Niederried bei Interlaken,348,67,162,30,64,10,15
318,Oberried am Brienzersee,473,108,198,51,84,20,12
319,Ringgenberg (BE),2561,483,878,372,548,220,60
320,Saxeten,100,23,40,21,16,0,0
321,Schwanden bei Brienz,593,112,242,90,68,50,31
322,Unterseen,5615,1054,1988,879,1216,355,123
323,Wilderswil,2629,448,918,408,560,205,90
324,Arni (BE),925,134,290,132,236,90,43
325,Biglen,1784,270,620,300,360,160,74
326,Bowil,1338,179,426,183,328,150,72
327,Brenzikofen,483,74,182,69,96,50,12
328,Freimettigen,470,50,144,66,160,50,0
329,Grosshöchstetten,3510,487,1206,486,864,335,132
330,Häutligen,248,25,78,42,68,35,0
331,Herbligen,586,57,180,93,140,80,36
332,Kiesen,979,112,340,150,264,95,18
333,Konolfingen,5141,805,1786,774,1116,475,185
334,Landiswil,615,69,198,96,120,100,32
335,Linden,1161,161,316,180,260,175,69
336,Mirchel,624,65,184,90,180,60,45
337,Münsingen,12356,1788,4278,1884,2856,1140,410
338,Niederhünigen,607,71,180,87,172,90,7
339,Oberdiessbach,3467,412,1192,603,744,300,216
340,Oberthal,718,102,228,99,184,80,25
341,Oppligen,640,77,180,141,124,70,48
342,Rubigen,2911,370,1054,498,708,195,86
343,Schlosswil,627,83,218,114,128,65,19
344,Walkringen,1736,237,594,225,412,170,98
345,Worb,11119,1788,3696,1794,2420,885,536
346,Zäziwil,1600,221,512,231,428,150,58
347,Oberhünigen,303,32,110,36,28,60,37
348,Allmendingen,576,68,210,126,80,60,32
349,Wichtrach,4274,557,1412,693,1160,360,92
350,Clavaleyres,46,6,12,3,8,5,12
351,Ferenbalm,1227,142,504,189,220,120,52
352,Frauenkappelen,1219,176,460,210,256,90,27
353,Golaten,301,31,134,51,52,15,18
354,Gurbrü,246,24,64,45,80,15,18
355,Kriechenwil,415,72,154,42,88,25,34
356,Laupen,3043,559,1078,453,608,265,80
357,Mühleberg,2917,409,1156,435,616,245,56
358,Münchenwiler,514,46,172,84,136,40,36
359,Neuenegg,5475,729,1910,879,1344,440,173
360,Wileroltigen,356,40,108,66,112,30,0
361,Belprahon,297,27,110,63,56,35,6
362,Champoz,168,13,34,39,56,20,6
363,Corcelles (BE),201,31,66,24,28,40,12
364,Court,1413,171,460,228,336,125,93
365,Crémines,507,96,152,72,100,55,32
366,Eschert,386,44,120,78,92,40,12
367,Grandval,386,50,116,57,116,35,12
368,Loveresse,320,38,112,51,68,45,6
369,Moutier,7336,1313,2198,1314,1540,660,311
370,Perrefitte,458,57,144,81,100,55,21
371,Reconvilier,2243,376,630,411,472,255,99
372,Roches (BE),195,30,68,24,68,5,0
373,Saicourt,615,79,196,96,148,65,31
374,Saules (BE),152,17,54,33,16,20,12
375,Schelten,33,4,6,6,4,0,13
376,Seehof,63,6,10,21,4,10,12
377,Sorvilier,275,42,92,45,76,20,0
378,Tavannes,3560,672,1004,567,812,390,115
379,Rebévelier,42,3,18,0,8,0,13
380,Petit-Val,401,42,104,72,104,55,24
381,Valbirse,3946,587,1168,717,988,375,111
382,La Neuveville,3665,677,1124,636,840,330,58
383,Nods,755,97,204,117,224,75,38
384,Plateau de Diesse,1987,282,574,321,520,185,105
385,Aegerten,2028,305,678,342,376,175,152
386,Bellmund,1638,126,526,297,480,150,59
387,Brügg,4234,828,1276,750,876,375,129
388,Bühl,448,61,188,72,92,35,0
389,Epsach,320,29,82,87,88,10,24
390,Hagneck,403,41,156,75,108,10,13
391,Hermrigen,309,34,112,36,84,25,18
392,Jens,664,66,220,132,160,55,31
393,Ipsach,3954,613,1422,573,928,335,83
394,Ligerz,563,94,214,84,120,45,6
395,Merzligen,399,43,172,57,68,45,14
396,Mörigen,887,81,342,156,212,45,51
397,Nidau,6684,1533,2182,1041,1068,535,325
398,Orpund,2683,445,932,456,584,190,76
399,Port,3589,503,1264,648,856,225,93
400,Safnern,1890,229,670,327,460,155,49
401,Scheuren,445,49,152,63,124,25,32
402,Schwadernau,670,66,214,117,172,55,46
403,Studen (BE),3249,437,1060,531,828,280,113
404,Sutz-Lattrigen,1372,168,456,276,320,90,62
405,Täuffelen,2785,370,1048,420,664,210,73
406,Walperswil,997,98,384,165,260,65,25
407,Worben,2249,312,818,378,520,145,76
408,Twann-Tüscherz,1121,217,450,180,188,55,31
409,Därstetten,833,109,266,147,160,95,56
410,Diemtigen,2182,320,682,318,500,270,92
411,Erlenbach im Simmental,1709,273,556,258,352,170,100
412,Oberwil im Simmental,780,111,286,102,196,55,30
413,Reutigen,978,143,356,168,184,85,42
414,Spiez,12521,2109,4430,2040,2644,950,348
415,Wimmis,2419,371,738,429,520,245,116
416,Stocken-Höfen,999,118,346,165,208,125,37
417,Guttannen,263,38,90,36,68,25,6
418,Hasliberg,1112,175,332,147,240,130,88
419,Innertkirchen,1065,177,346,162,240,115,25
420,Meiringen,4610,795,1508,768,1048,375,116
421,Schattenhalb,556,87,194,87,120,50,18
422,Boltigen,1256,173,418,213,256,140,56
423,Lenk,2312,403,764,357,508,205,75
424,St. Stephan,1303,212,392,231,244,145,79
425,Zweisimmen,2973,452,1066,447,580,270,158
426,Gsteig,975,188,308,168,188,105,18
427,Lauenen,821,123,238,126,152,145,37
428,Saanen,6806,1377,1866,1257,1344,585,377
429,Guggisberg,1507,175,436,252,328,185,131
430,Rüschegg,1608,266,662,213,328,90,49
431,Schwarzenburg,6713,1066,2242,1068,1508,650,179
432,Belp,11290,1767,3796,1992,2448,890,397
433,Burgistein,1076,137,336,183,240,135,45
434,Gelterfingen,302,58,110,48,52,10,24
435,Gerzensee,1178,145,414,204,252,145,18
436,Gurzelen,818,95,230,114,220,105,54
437,Jaberg,268,31,74,30,80,35,18
438,Kaufdorf,1079,101,332,174,300,140,32
439,Kehrsatz,4209,564,1280,606,1016,440,303
440,Kirchdorf (BE),967,106,326,171,232,120,12
441,Kirchenthurnen,269,47,104,39,52,20,7
442,Lohnstorf,222,26,68,24,76,15,13
443,Mühledorf (BE),257,32,84,24,60,45,12
444,Mühlethurnen,1357,163,430,252,320,155,37
445,Niedermuhlern,494,59,188,75,96,50,26
446,Noflen,295,34,80,42,64,75,0
447,Riggisberg,2444,355,766,402,560,220,141
448,Rüeggisberg,1754,291,570,240,424,165,64
449,Rümligen,438,56,156,93,100,20,13
450,Seftigen,2162,275,818,342,472,165,90
451,Toffen,2527,317,918,417,604,205,66
452,Uttigen,2049,219,690,339,496,255,50
453,Wattenwil,2850,415,800,483,684,285,183
454,Wald (BE),1159,135,416,162,292,100,54
455,Eggiwil,2406,249,708,387,556,335,171
456,Langnau im Emmental,9213,1413,3012,1353,1856,1060,519
457,Lauperswil,2591,363,900,375,584,240,129
458,Röthenbach im Emmental,1163,147,314,147,232,210,113
459,Rüderswil,2327,311,770,306,604,245,91
460,Schangnau,887,124,248,126,228,125,36
461,Signau,2626,386,854,423,548,225,190
462,Trub,1317,122,356,171,292,200,176
463,Trubschachen,1393,191,412,207,304,160,119
464,Amsoldingen,818,98,314,102,188,80,36
465,Blumenstein,1203,156,418,228,244,120,37
466,Buchholterberg,1529,153,494,294,340,180,68
467,Eriz,487,68,160,102,80,50,27
468,Fahrni,780,89,232,129,280,20,30
469,Heiligenschwendi,668,140,236,93,124,45,30
470,Heimberg,6718,928,2372,1083,1524,520,291
471,Hilterfingen,3974,767,1344,570,884,310,99
472,Homberg,520,54,130,66,140,75,55
473,Horrenbach-Buchen,221,27,72,36,28,30,28
474,Oberhofen am Thunersee,2391,463,970,309,488,105,56
475,Oberlangenegg,464,62,136,66,124,50,26
476,Pohlern,255,34,92,27,60,30,12
477,Schwendibach,236,37,54,54,48,25,18
478,Sigriswil,4697,981,1932,642,752,255,135
479,Steffisburg,15536,2599,5300,2490,3420,1170,557
480,Teuffenthal (BE),164,21,48,33,40,10,12
481,Thierachern,2382,298,744,354,636,225,125
482,Thun,42778,8053,15254,6696,8232,3225,1318
483,Uebeschi,680,69,198,96,180,75,62
484,Uetendorf,5871,768,2200,903,1356,455,189
485,Unterlangenegg,971,123,300,129,268,105,46
486,Wachseldorn,234,30,60,48,40,50,6
487,Zwieselberg,321,23,90,42,92,40,34
488,Forst-Längenbühl,770,104,234,129,192,80,31
489,Affoltern im Emmental,1112,143,356,198,220,130,65
490,Dürrenroth,1031,136,312,138,208,165,72
491,Eriswil,1366,175,432,156,300,165,138
492,Huttwil,4752,793,1512,714,976,510,247
493,Lützelflüh,4107,587,1350,627,856,450,237
494,Rüegsau,3187,438,1008,564,696,285,196
495,Sumiswald,4949,805,1594,684,1060,545,261
496,Trachselwald,942,134,272,153,156,125,102
497,Walterswil (BE),545,38,126,99,144,70,68
498,Wyssachen,1132,151,348,165,232,125,111
499,Attiswil,1434,212,512,249,324,100,37
500,Berken,42,7,20,6,4,5,0
501,Bettenhausen,633,98,258,81,128,50,18
502,Farnern,202,31,84,45,32,10,0
503,Graben,329,46,92,60,56,50,25
504,Heimenhausen,1109,154,400,159,272,100,24
505,Herzogenbuchsee,7022,1127,2390,1008,1452,770,275
506,Inkwil,600,106,256,75,84,60,19
507,Niederbipp,4649,650,1412,849,1120,370,248
508,Niederönz,1659,215,562,285,408,165,24
509,Oberbipp,1707,224,518,369,360,160,76
510,Ochlenberg,552,75,188,75,108,75,31
511,Rumisberg,482,60,180,96,96,50,0
512,Seeberg,1526,213,504,240,280,175,114
513,Thörigen,1114,175,344,201,260,115,19
514,Walliswil bei Niederbipp,220,39,82,36,32,25,6
515,Walliswil bei Wangen,589,85,218,75,156,55,0
516,Wangen an der Aare,2270,385,750,390,508,160,77
517,Wangenried,415,53,144,57,96,35,30
518,Wiedlisbach,2285,440,754,390,496,150,55
519,Wolfisberg,177,34,62,24,36,15,6
520,Doppleschwand,775,84,132,87,276,115,81
521,Entlebuch,3251,449,808,459,804,470,261
522,Flühli,1675,234,434,255,408,210,134
523,Hasle (LU),1716,180,414,249,432,295,146
524,Romoos,654,59,200,69,124,105,97
525,Schüpfheim,4106,461,1004,627,964,710,340
526,Werthenstein,2077,219,502,369,500,295,192
527,Escholzmatt-Marbach,4261,535,1120,627,896,690,393
528,Aesch (LU),1193,156,420,174,252,125,66
529,Altwis,436,22,110,81,100,60,63
530,Ballwil,2751,289,784,369,792,355,162
531,Emmen,30093,4822,8840,5346,6808,2725,1552
532,Ermensee,974,84,246,165,236,150,93
533,Eschenbach (LU),3548,403,1076,528,960,435,146
534,Hitzkirch,5126,469,1326,825,1272,780,454
535,Hochdorf,9490,1223,2584,1707,2504,1060,412
536,Hohenrain,2451,195,622,345,640,410,239
537,Inwil,2531,296,640,429,672,345,149
538,Rain,2738,238,716,444,876,370,94
539,Römerswil,1756,185,442,237,432,285,175
540,Rothenburg,7457,735,2188,1257,2196,765,316
541,Schongau,1036,86,256,159,264,165,106
542,Adligenswil,5316,509,1656,975,1428,500,248
543,Buchrain,6036,605,1694,1221,1620,625,271
544,Dierikon,1493,156,458,309,416,110,44
545,Ebikon,13294,1879,4208,2328,3064,1290,525
546,Gisikon,1326,144,398,246,360,140,38
547,Greppen,1070,110,296,162,320,140,42
548,Honau,390,33,114,69,108,40,26
549,Horw,13528,2084,4372,2001,3320,1200,551
550,Kriens,26586,4271,8412,4548,6096,2355,904
551,Luzern,78989,18660,26598,12780,13800,5310,1841
552,Malters,7151,867,1962,1197,1824,790,511
553,Meggen,7031,1019,2386,1128,1636,635,227
554,Meierskappel,1356,127,380,198,328,230,93
555,Root,4948,511,1352,834,1384,555,312
556,Schwarzenberg,1679,179,488,273,468,175,96
557,Udligenswil,2233,218,618,426,652,220,99
558,Vitznau,1362,238,460,252,248,80,84
559,Weggis,4304,781,1576,708,752,325,162
