,Commune,Total,1HH,2HH,3HH,4HH,5HH,6HH
267,Romont (BE),195,15,80,27,48,25,0
268,Saint-Imier,4845,1058,1314,777,1020,425,251
269,Sonceboz-Sombeval,1805,242,500,297,460,220,86
270,Sonvilier,1225,188,324,201,292,140,80
271,Tramelan,4327,699,1242,660,1048,430,248
272,Vauffelin,432,62,142,57,84,50,37
273,Villeret,907,153,278,159,204,100,13
274,Brüttelen,577,77,208,117,124,45,6
275,Erlach,1308,221,408,225,316,95,43
276,Finsterhennen,511,42,130,84,152,65,38
277,Gals,714,100,254,87,196,40,37
278,Gampelen,789,90,270,156,180,55,38
279,Ins,3300,413,970,621,776,380,140
280,Lüscherz,528,95,180,105,112,30,6
281,Müntschemier,1290,156,386,276,304,100,68
282,Siselen,596,65,192,105,168,40,26
283,Treiten,417,52,126,51,140,30,18
284,Tschugg,440,70,130,99,84,45,12
285,Vinelz,835,123,296,123,184,85,24
286,Bangerten,151,25,54,21,36,15,0
287,Bätterkinden,3102,349,1086,516,740,285,126
288,Büren zum Hof,452,40,140,60,128,65,19
289,Deisswil bei Münchenbuchsee,80,12,30,12,16,10,0
290,Diemerswil,187,15,42,48,48,20,14
291,Etzelkofen,295,43,126,57,64,5,0
292,Fraubrunnen,1817,192,600,309,500,165,51
293,Grafenried,947,111,314,156,236,85,45
294,Jegenstorf,4725,668,1598,831,1088,380,160
295,Iffwil,410,36,128,57,108,50,31
296,Limpach,334,58,100,69,72,35,0
297,Mattstetten,571,46,202,102,108,70,43
298,Moosseedorf,3697,531,1192,606,776,410,182
299,Mülchi,228,34,70,27,64,15,18
300,Münchenbuchsee,9738,1482,3104,1593,2312,870,377
301,Münchringen,598,43,186,87,196,60,26
302,Schalunen,422,32,126,90,124,50,0
303,Scheunen,83,6,10,9,28,5,25
304,Urtenen-Schönbühl,6025,968,2086,1047,1288,555,81
305,Utzenstorf,4070,525,1336,651,1036,380,142
306,Wiggiswil,96,18,30,15,28,5,0
307,Wiler bei Utzenstorf,819,130,274,117,164,120,14
308,Zauggenried,306,43,76,69,84,10,24
309,Zielebach,332,38,130,75,64,25,0
310,Zuzwil (BE),573,46,214,54,160,75,24
311,Adelboden,3416,450,864,426,760,580,336
312,Aeschi bei Spiez,2152,336,630,315,508,220,143
313,Frutigen,6614,904,1856,939,1528,810,577
314,Kandergrund,772,117,280,123,176,45,31
315,Kandersteg,1247,249,458,210,204,120,6
316,Krattigen,1036,177,412,117,248,70,12
317,Reichenbach im Kandertal,3455,488,1080,528,768,435,156
318,Beatenberg,1094,261,402,141,164,75,51
319,Bönigen,2480,348,768,432,596,200,136
320,Brienz (BE),2936,520,950,408,588,300,170
321,Brienzwiler,473,81,180,81,84,35,12
322,Därligen,415,63,162,69,64,45,12
323,Grindelwald,3724,807,1216,606,780,260,55
324,Gsteigwiler,416,70,116,84,104,30,12
325,Gündlischwand,314,47,100,33,76,40,18
326,Habkern,630,85,196,51,152,90,56
327,Hofstetten bei Brienz,529,66,184,81,100,55,43
328,Interlaken,5537,1226,1960,882,972,355,142
329,Iseltwald,419,80,120,54,100,35,30
330,Lauterbrunnen,2411,547,748,432,452,145,87
331,Leissigen,950,161,310,147,236,75,21
332,Lütschental,232,38,70,39,60,25,0
333,Matten bei Interlaken,3674,608,1298,696,824,175,73
334,Niederried bei Interlaken,339,71,142,36,60,10,20
335,Oberried am Brienzersee,458,104,162,60,96,30,6
336,Ringgenberg (BE),2603,457,866,378,612,210,80
337,Saxeten,97,20,30,21,20,0,6
338,Schwanden bei Brienz,569,94,220,81,100,60,14
339,Unterseen,5526,989,1968,900,1192,355,122
340,Wilderswil,2538,420,822,396,600,195,105
341,Arni (BE),923,111,270,153,248,105,36
342,Biglen,1729,255,552,255,432,155,80
343,Bleiken bei Oberdiessbach,381,39,98,51,80,70,43
344,Bowil,1339,163,430,186,320,170,70
345,Brenzikofen,514,69,168,66,140,65,6
346,Freimettigen,466,70,126,69,136,65,0
347,Grosshöchstetten,3368,416,1118,630,788,290,126
348,Häutligen,243,29,76,33,68,25,12
349,Herbligen,578,59,174,93,140,75,37
350,Kiesen,896,98,310,141,224,105,18
351,Konolfingen,4798,667,1652,753,1016,520,190
352,Landiswil,623,75,202,87,124,85,50
353,Linden,1181,143,292,159,288,200,99
354,Mirchel,599,66,160,84,164,80,45
355,Münsingen,11429,1591,3856,1869,2700,1025,388
356,Niederhünigen,606,64,184,84,164,80,30
357,Oberdiessbach,3013,349,952,603,660,290,159
358,Oberthal,736,105,228,78,192,95,38
359,Oppligen,652,74,184,111,132,95,56
360,Rubigen,2884,363,1040,495,708,190,88
361,Schlosswil,627,76,204,120,132,65,30
362,Tägertschi,405,33,108,75,128,30,31
363,Walkringen,1748,222,566,222,416,225,97
364,Worb,11152,1713,3752,1797,2512,910,468
365,Zäziwil,1589,220,454,309,372,210,24
366,Oberhünigen,313,30,102,30,56,70,25
367,Allmendingen,542,56,186,93,128,30,49
368,Wichtrach,4016,521,1350,696,1048,315,86
369,Clavaleyres,49,6,14,6,4,0,19
370,Ferenbalm,1232,121,510,183,260,115,43
371,Frauenkappelen,1224,177,428,231,268,100,20
372,Golaten,311,40,104,48,88,10,21
373,Gurbrü,253,28,60,33,60,35,37
374,Kriechenwil,424,61,154,63,88,25,33
375,Laupen,2816,481,960,426,604,260,85
376,Mühleberg,2704,356,1036,414,628,225,45
377,Münchenwiler,475,37,168,96,108,40,26
378,Neuenegg,4826,657,1662,759,1232,350,166
379,Wileroltigen,380,39,88,60,136,45,12
380,Belprahon,314,29,104,57,72,40,12
381,Bévilard,1715,254,496,285,416,215,49
382,Champoz,157,9,30,24,64,30,0
383,Châtelat,101,10,24,18,12,0,37
384,Corcelles (BE),211,29,76,21,28,25,32
385,Court,1416,169,410,243,316,155,123
386,Crémines,530,77,172,81,96,65,39
387,Eschert,363,42,114,63,60,55,29
388,Grandval,357,45,114,57,100,35,6
389,Loveresse,319,26,108,69,80,30,6
390,Malleray,1929,231,576,312,460,200,150
391,Monible,36,2,10,12,0,5,7
392,Moutier,7467,1304,2172,1353,1704,640,294
393,Perrefitte,449,55,138,66,124,40,26
394,Pontenet,217,22,58,33,64,40,0
395,Reconvilier,2234,367,636,411,496,245,79
396,Roches (BE),204,24,62,42,44,25,7
397,Saicourt,597,83,160,108,152,75,19
398,Saules (BE),156,20,40,24,40,20,12
399,Schelten,37,5,2,12,0,5,13
400,Seehof,68,5,8,21,12,15,7
401,Sornetan,138,11,26,36,44,15,6
402,Sorvilier,254,40,92,54,68,0,0
403,Souboz,130,8,40,21,36,25,0
404,Tavannes,3487,634,956,537,880,355,125
405,Rebévelier,45,2,14,3,8,5,13
406,Diesse,431,59,118,78,120,25,31
407,Lamboing,695,89,194,126,184,65,37
408,La Neuveville,3586,617,1068,672,800,330,99
409,Nods,729,102,198,111,196,85,37
410,Prêles,853,102,260,144,228,95,24
411,Aegerten,1800,267,602,309,360,170,92
412,Bellmund,1573,117,494,270,496,160,36
413,Brügg,4202,787,1314,753,860,385,103
414,Bühl,412,51,166,75,84,30,6
415,Epsach,320,22,78,84,88,30,18
416,Hagneck,402,37,148,111,76,30,0
417,Hermrigen,254,32,94,27,60,10,31
418,Jens,674,54,218,123,188,60,31
419,Ipsach,3973,546,1358,630,988,330,121
420,Ligerz,533,89,208,111,84,35,6
421,Merzligen,388,42,170,69,48,45,14
422,Mörigen,859,88,326,141,192,75,37
423,Nidau,6601,1559,2204,978,1120,455,285
424,Orpund,2620,405,858,444,616,235,62
425,Port,3345,456,1244,549,760,220,116
426,Safnern,1865,215,622,363,428,150,87
427,Scheuren,452,38,138,69,132,35,40
428,Schwadernau,668,69,196,144,160,60,39
429,Studen (BE),2937,439,994,555,660,215,74
430,Sutz-Lattrigen,1374,165,424,246,368,125,46
431,Täuffelen,2650,345,970,429,648,215,43
432,Walperswil,947,93,314,195,256,65,24
433,Worben,2237,271,842,423,468,165,68
434,Twann-Tüscherz,1098,213,424,156,240,40,25
435,Därstetten,821,105,252,141,176,90,57
436,Diemtigen,2142,278,696,276,452,285,155
437,Erlenbach im Simmental,1648,243,528,240,404,135,98
438,Niederstocken,242,27,98,42,44,25,6
439,Oberstocken,286,35,84,51,64,40,12
440,Oberwil im Simmental,791,79,256,129,160,130,37
441,Reutigen,955,123,316,177,248,65,26
442,Spiez,12388,2046,4236,2133,2656,940,377
443,Wimmis,2427,339,728,402,576,220,162
444,Gadmen,221,44,70,45,32,30,0
445,Guttannen,314,59,88,60,64,25,18
446,Hasliberg,1110,166,328,147,248,140,81
447,Innertkirchen,806,123,258,126,176,105,18
448,Meiringen,4591,760,1422,873,1012,425,99
449,Schattenhalb,588,77,174,93,164,50,30
450,Boltigen,1303,176,380,207,288,200,52
451,Lenk,2300,347,746,375,524,210,98
452,St. Stephan,1319,200,346,228,252,190,103
453,Zweisimmen,2937,453,1010,468,548,330,128
454,Gsteig,983,176,280,189,232,100,6
455,Lauenen,805,125,224,102,192,105,57
456,Saanen,6774,1339,1646,1152,1384,700,553
457,Guggisberg,1539,165,402,270,356,205,141
458,Rüschegg,1598,261,588,207,328,120,94
459,Schwarzenburg,6683,900,2146,1056,1588,725,268
460,Belp,11205,1635,3784,2022,2468,895,401
461,Burgistein,1003,116,284,171,268,100,64
462,Gelterfingen,243,41,108,30,32,20,12
463,Gerzensee,1160,128,388,204,244,150,46
464,Gurzelen,798,87,214,105,228,120,44
465,Jaberg,254,26,84,27,64,40,13
466,Kaufdorf,1014,89,300,174,328,80,43
467,Kehrsatz,4112,525,1358,615,924,455,235
468,Kienersrüti,49,5,16,9,8,5,6
469,Kirchdorf (BE),857,100,274,114,232,125,12
470,Kirchenthurnen,270,49,106,36,52,20,7
471,Lohnstorf,217,27,62,21,80,15,12
472,Mühledorf (BE),249,25,72,45,60,35,12
473,Mühlethurnen,1376,177,440,222,356,145,36
474,Niedermuhlern,462,52,154,78,112,35,31
475,Noflen,282,31,86,57,52,50,6
476,Riggisberg,2387,317,722,360,584,235,169
477,Rüeggisberg,1795,260,534,279,448,180,94
478,Rümligen,439,50,172,72,92,35,18
479,Seftigen,2193,250,736,402,524,180,101
480,Toffen,2524,310,906,318,720,210,60
481,Uttigen,1830,191,578,291,464,255,51
482,Wattenwil,2735,381,750,444,628,365,167
483,Wald (BE),1169,125,422,135,328,115,44
484,Eggiwil,2377,261,670,351,488,430,177
485,Langnau im Emmental,8875,1279,2758,1347,1968,1030,493
486,Lauperswil,2605,334,834,432,568,295,142
487,Röthenbach im Emmental,1222,104,290,171,236,215,206
488,Rüderswil,2297,307,684,366,540,260,140
489,Schangnau,871,97,240,138,200,160,36
490,Signau,2679,354,808,402,588,300,227
491,Trub,1314,115,322,171,272,225,209
492,Trubschachen,1363,189,376,216,284,195,103
493,Amsoldingen,778,81,246,108,224,85,34
494,Blumenstein,1138,144,368,213,256,115,42
495,Buchholterberg,1493,137,476,291,312,165,112
496,Eriz,484,68,152,72,116,40,36
497,Fahrni,802,80,230,105,280,75,32
498,Heiligenschwendi,683,120,230,93,124,70,46
499,Heimberg,6499,853,2166,1128,1576,505,271
500,Hilterfingen,3956,755,1392,549,836,305,119
501,Höfen,440,46,114,93,120,40,27
502,Homberg,503,47,122,72,112,95,55
503,Horrenbach-Buchen,243,23,62,30,36,65,27
504,Oberhofen am Thunersee,2332,433,922,357,448,115,57
505,Oberlangenegg,459,55,136,54,124,45,45
506,Pohlern,260,38,70,51,60,35,6
507,Schwendibach,241,28,78,48,44,25,18
508,Sigriswil,4554,890,1776,636,740,370,142
509,Steffisburg,15358,2466,5226,2517,3340,1250,559
510,Teuffenthal (BE),162,22,50,21,36,15,18
511,Thierachern,2439,238,720,372,612,305,192
512,Thun,42120,7923,14916,6369,8252,3180,1480
513,Uebeschi,660,64,192,99,136,110,59
514,Uetendorf,5878,740,1990,978,1448,480,242
515,Unterlangenegg,907,103,280,126,272,75,51
516,Wachseldorn,237,28,66,48,48,35,12
517,Zwieselberg,289,21,72,51,72,45,28
518,Forst-Längenbühl,756,93,176,123,196,115,53
519,Affoltern im Emmental,1137,141,348,180,244,150,74
520,Dürrenroth,1039,135,278,159,212,160,95
521,Eriswil,1348,168,370,213,280,205,112
522,Huttwil,4612,744,1376,711,968,590,223
523,Lützelflüh,4025,570,1294,585,860,455,261
524,Rüegsau,3070,388,1014,489,664,320,195
525,Sumiswald,4938,718,1502,699,1084,640,295
526,Trachselwald,953,116,256,177,152,165,87
527,Walterswil (BE),531,52,110,81,136,65,87
528,Wyssachen,1128,151,332,171,224,130,120
529,Attiswil,1361,195,468,252,292,135,19
530,Berken,43,9,14,3,12,5,0
531,Bettenhausen,674,88,238,111,164,55,18
532,Farnern,207,22,94,36,44,5,6
533,Graben,314,38,104,48,52,45,27
534,Heimenhausen,1018,144,350,168,236,70,50
535,Hermiswil,93,12,36,18,12,15,0
536,Herzogenbuchsee,6855,1067,2296,981,1540,705,266
537,Inkwil,614,87,244,120,96,55,12
538,Niederbipp,4328,557,1228,840,992,430,281
539,Niederönz,1541,175,540,252,340,215,19
540,Oberbipp,1619,214,502,333,368,150,52
541,Ochlenberg,581,63,170,93,124,100,31
542,Rumisberg,467,62,180,96,104,25,0
543,Seeberg,1408,185,440,246,300,130,107
544,Thörigen,1038,178,312,165,292,65,26
545,Walliswil bei Niederbipp,213,37,68,51,36,15,6
546,Walliswil bei Wangen,564,85,208,96,116,40,19
547,Wangen an der Aare,2128,323,726,369,472,125,113
548,Wangenried,401,52,140,48,100,25,36
549,Wiedlisbach,2150,372,700,381,416,190,91
550,Wolfisberg,181,25,64,36,40,10,6
551,Doppleschwand,736,66,118,96,244,135,77
552,Entlebuch,3236,414,784,417,808,455,358
553,Flühli,1610,182,402,234,384,210,198
554,Hasle (LU),1699,172,362,246,388,355,176
555,Romoos,658,69,148,75,112,130,124
556,Schüpfheim,4032,411,838,606,988,715,474
557,Werthenstein,1950,205,470,285,488,305,197
558,Escholzmatt-Marbach,4230,441,962,657,884,735,551
559,Aesch (LU),1001,116,290,174,208,135,78
560,Altwis,403,24,100,54,88,70,67
561,Ballwil,2580,273,694,390,752,345,126
562,Emmen,28406,4287,8350,4803,6744,2720,1502
563,Ermensee,873,73,174,150,224,125,127
564,Eschenbach (LU),3509,392,980,531,940,425,241
